"Sans Nom";"";"";"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AZINCOURT";"";"BACQUET  Gérard ";"1";"1";"acheté neuf  vers 1980  environ 100 fr";"200";"1977    ";"BELLEGARDE /  ED.  ?";"";"123";"21 X 27";"BROCHE / NEUF / EXCELLENT";"A 2";"";"";"";"OPERATIONS";"AZINCOURT ";"";"";"";"";"";"";"";"1980    ";"100";"PARIS  FNAC";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE +++";"CARTES +";"BIBLIOGRAPHIE ++++";"";"EXCELLENT OUVRAGE MODERNE SUR CETTE CELEBRE BATAILLE . 

ENSEIGNE A PEU PRES TOUT CE QUE L ON PEUT SAVOIR SUR LE SUJET  . 

NOMBREUSES ET TRES INTERESSANTES ILLUSTR.  , moitie n et blanc , moitie couleur  , avec notamment  de  TRES INTERESSANTES AQUARELLES ANCIENNES DES SITES provenant de vieux manuscrits de la Bibliothèque Nationale . 
QQ. CARTES  PAS TRES INT. 
NOMBREUSES ¨PIECES JUSTIFICATIVES  :   EXTRAITS DES CHRONIQUES DE L ' EPOQUE  ET 
SURTOUT  ,  LISTE DES SEIGNEURS FRANCAIS TUES AU COURS DE LA BATAILLE  . 

BIBLIOGRAPHIE IMPORTANTE  ";"";"";"";"";"";"";"";"";"";""
"LE MARECHAL CANROBERT";"SOUVENIRS D'UN SIECLE";"BAPST  Germain";"1";"1";"acheté 230 fr chez un bouqu : années 80";"";"1898    ";"PARIS / PLON ";"";"3000";"14.5 X 23";"BORCHE / BON ETAT";"D 1";"";"";"";"MEMOIRES  / OPERATIONS";"RESTAURATION / OPERATIONS D'ALGERIE /";"GUERRE DE CRIMEE / SECOND EMPIRE /";"GUERRE D'ITALIE  SECOND EMPIRE / MAGENTA / ";"SOLFERINO / SADOWA /  GUERRE DE  1870 ";"CAMP DE CHALONS / METZ / BAZAINE / BORNY ";"REZONVILLE ";"";"";"1983    ";"2000";"BOUQUINISTE A NANCY ";"";"";"";"";"";"";"";"";"";"";"CARTES  +++";"";"";"IL S'AGIT EN FAIT DES MEMOIRES DU MARECHAL   présentés ou mis en forme par M. BAPST 

OUVRAGE DU PLUS GRAND INTERET

ces mémoires couvrent la période depuis la naissance de Canrobert , 1809   à   la bataille de REZONVILLE  1870  ";" 

l'ensemble fourmille d'anecdotes et de détails sur la vie du temps , militaire et civiles , et sur un nombre incalculables de personnages célèbres ou connus que la maréchal a connus ou approché . Ce  qui fait l'intérêt majeur de ces mémoires avec l'autre aspect : la description des opérations auxquelles Canrobert a lui lui-même participé ou qu'il a commandées . 

TOME 1  :    Jeunesse de Canrobert , premiers pas dans la vie militaire au 47° DE LIGNE ";"   OPERATIONS EN ALGERIE :  jusqu'au 
                     COUP D'ETAT  ";"  Dans ce tome , canrobert rapporte de nombreux et très intéressants souvenirs d'officiers qu'il a connus
                    et qui ont fait les campagne du IER EMPIRE .  
TOME II  :  souvenirs sur la COUR DE NAPOLEON III   et la GUERRE DE CRIMEE 

TOME III  :   PARIS ET LA COUR PENDANT LE CONGRES  / NAISSANCE DU PRINCE IMPERIAL /  GUERRE D'ITALIE  avec 
                     chapitres très détaillés sur MAGENTA ET SOLFERINO 

TOME  IV :    LES SOUVERAINS A PARIS  / LES FETES DES TUILERIES  /  LA GUERRE CONTRE L'ALLEMAGNE 
                     dans ce livre , canrobert donne beaucoup de détails sur  SADOWA et ses lendemains  et sur le déclenchement et le
                      début de la guerre de 1870  avec de gros chapitres sur  LE CAMP DE CHALONS ,  LA CONCENTRATION A METZ , 
                     LE MARECHAL BAZAINE ,  LA BATAILLE DE BORNY

TOME  V   :   Entièrement consacré:coma: à la  BATAILLE DE REZONVILLE  ";" les mémoires s'arrêtent d'ailleurs à la fin de cette bataille . 

SANS ILLUTR.  / QQ CARTES        

COTE  :   vu à  2500  fr     cat";" Clavreuil n° 340 /1999  p. 145  pour la série reliée
                         2700 fr    chez Teissedre  cat n° 27 / sept 2002  p. 153   ne précise pas mais doit être relié .
          mon exemplaire étant broché , je le cote 2000 fr à la revente .    ";"";"";"";"";"";"";"";"";"";""
"LA BATAILLE DE ROCROI  ";"19 MAI 1643";"BARBE  Marie France ";"1";"1";"azcheté environ 20 fr en 1978 , sur place ";"70";"1977    ";"ROCROI  SYNDICAT D'INITIATIVE";"";"31";"15 X 21";"BORCHE / BON ETAT";"D 1";"";"";"ANCIEN REGIME ";"OPERATIONS";"BATAILLE DE ROCROI / PRINCE DE CONDE";"LE GRAND CONDE / MARECHAL DE GASSION ";"ALBUQUERQUE / DE MELLOS /  ISSEMBOURG";"LA FERTE / SANTERRE / D'ESPENAN ";"";"";"";"";"1978    ";"30";"ROCROI / Muséee de la Bataille  ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE   +";"CARTES  :   ++";"BIBLIOGRAPHIE ++";"";"PLAQUETTE SUCCINTE ET RESUMEE MAIS TRES CLAIRE  .    TRES INTERESSANT 

Ce genre de document est à l'usage des touristes :coma: éclairés  :coma: , pour découvrir ou redécouvrir l'essentiel de la bataille et en comprendre les phases avec un ouvrage lisible en peu de temps . 

ETAT DES ARMEES  /  2 OU 3   CARTES  ASSEZ CLAIRES 

QQ  ILLUSTR N ET BLANC DONT CERTAINES INT. ";"";"";"";"";"";"";"";"";"";""
"LE FEU ";"";"BARBUSSE  Henri";"1";"1";"acheté 42 fr neuf  vers 2004";"";"2004    ";"PARIS / FLAMMARION  ";"POCHE";"414";"11 X 18";"BROCHE / NEUF / EXCELLENT";"C 1 ";"";"";"GUERRE  1914 - 1918  ";"ROMAN  HISTORIQUE";"";"";"";"";"";"";"";"";"2004    ";"20";"PARIS / LIBR  MUSEE DE L ARMEE";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON NE PRESENTE PLUS CE CELEBRE ROMAN HISTORIQUE ECRIT PAR UN DES PLUS CELEBRES AUTEURS SUR LA GRANDE GUERRE 


Quand je l'ai lu , il a failli me tomber des mains au bout de dix pages . En effet , l'auteur se complaisait dans la description de poilus pateaugeant dans la boue des tranchées etc.... 
Puis , on s'y prend  ... parce que Barbusse a eu la bonne idée de faire parler ses personnages , ses camarades de tranchée , comme ils parlent en réalité : avec de smots d'argots , en retranscrivant les abréviations  . Or comme cela sent le vrai , et que en plus , toutes ses descriptions sont hyper précises , on commence à s'attacher à ces braves gens ... ET ON SUIT LEUR VIE ...

Mais c'est très dur . Barbusse n'épargne rien , ni de la description de la misère des tranchées , ni les scènes de bombardement ou d'assaut , avec une description précise des cadavres horribles , des plaies des blessures des atrocités que l'on peut voir après l'assaut .  C'esst du réalisme , très bien écrit , mais il y en a un peu trop  ... 

Et uis , aussi , Barbusse montre le monde qui existe entre les combattants des tranchées et ... l'arrière ... 

Bref c'est la description de cette guerre ... sans fards ...  MAIS IL FAUT LE LIRE   ne serait-ce que pour se pénétrer du stoicisme , de l'abnégation , de la bravoure tranquille , du fatalisme et même de l'absence de haine contre l'arrière de ces braves gens . ";"";"";"";"";"";"";"";"";"";""
"QUELQUES-UNS DES CHARS  1939-1940";"";"BARDEL  Lieutenant  René ..";"1";"1";"acheté 25 fr années 80 à Allerey ";"60";"1945    ";"PARIS / ARTHAUD";"";"206";"12.5 X 19";"BROCHE / ETAT CORRECTI";"K 3";"";"";"SECONDE GUERRE MONDIALE ";"MEMOIRES";"CAMPAGNE DE FRANCE  1940 ";"CHARS DE COMBAT";"";"";"";"";"";"";"1985    ";"30";"BOUQUINISTE  (  ALLEREY   )";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRES INTERESSANTE HISTOIRE DE LA CAMPAGNE DE FRANCE D UN LIEUTENANT DU 44° 
BATAILLON DE CHARS DE COMBAT

SANS ILLUSTR NI CARTE";"";"";"";"";"";"";"";"";"";""
"SANGLANTS COMBATS";"ARMEE DE CHALONS";"BASTARD   Georges";"1";"1";"acheté 50 fr chez un bouqu années 80";"";"1887    ";"PARIS / OLLENDORF";"";"352";"12 X 19";"BROCHE / ETAT CORRECT";"D 1";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"OPERATIONS";"ARMEE DE CHALONS / SEDAN / BAZEILLES / ";"MOUZON / MARGUERITTE";"";"";"";"";"";"";"1985    ";"40";"BOUQU .  (  LOns  ?   )  ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE   +";"CARTE    +";"";"";"OUVRAGE TRES PRECIS SUR LES COMBATS MENES PAR L ARMEE DE CHALONS AUTOUR DE SEDAN 

PLUSIEURS ETATS DE SITUATION DES ARMEES TRES PRECIS 

1 CARTE ASSEZ SOMMAIRE ";"";"";"";"";"";"";"";"";"";""
"LA CAMPAGNE D ' ITALIE DE 1859";"";"BAZANCOURT  Baron de --";"1";"2";"acheté à vil prix vente aux enchères H.MAIRE  Dôle";"";"1860    ";"PARIS   AMYOT   ";"";"800";"12 x  19";"RELIE  / ETAT SUPERBE";"C 2";"";"";"";"OPERATIONS";"CAMPAGNE D' ITALIE DE 1859  /  MAGENTA ";"SOLFERINO / MONTEBELLO  /  TURBIGO  / ";"PALESTRO ";"";"";"";"";"";"2009    ";"300";"VENTE ENCH. HENRI MAIRE ";"";"";"";"";"";"";"";"";"";"";"CARTES  :   ++";"";"";"RELATION DE LA CELEBRE CAMPAGNE DE MAGENTA  ET DE SOLFERINO  . 
5 Je ne l'ai pas encore lu . Semble d'un très bon niveau technique ) 


1 CARTE DE LA BATAILLE DE MAGENTA (  non renseignée , pas extra ) 
ODB  TRES PRECIS DE L ARMEE FRANCAISE   AVEC  EN PLUS LA LISTE COMPLETE DES OFFICIERS ET SOUS OFFICIERS POUR CHAQUE REGIMENT  ( début du tome 1 ) 

TRES INT. 
PORTE L EX LIBRIS DU CT GRAND  ,  ERUDIT MILITAIRE ARBOISIEN . Livre acheté à la vente aux enchères HENRI MAIRE  A DOLE EN 200--  Voir renseignements sur cette vente au nom d'auteur  BIOT Colonel série HMRE . 
";"";"";"";"";"";"";"";"";"";""
"CE QUI DEMEURE ";"";"BENOIST-MECHIN";"1";"1";"acheté 119 fr neuf vers 2004";"";"2000    ";"PARIS / BARTILLAT";"";"274";"14 x 22";"BROCHE / NEUF / EXCELLENT ";"C 5 ";"";"";"GUERRE  1914 -  1918";"SOUVENIRS";"";"";"";"";"";"";"";"";"2004    ";"100";"PARIS/ LIBR. MUSEE DE L ARMEE";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON NE PRESENTE PLUS CET AUTEUR GENIAL . 

IL RASSEMBLE ICI DES LETTRES DE COMBATTANTS DE 14 TOMBES AU CHAMP D'HONNEUR . 
TRES EMOUVANT ET TRES INTERESSANT ";"";"";"";"";"";"";"";"";"";""
"SOIXANTE JOURS QUI EBRANLERENT L' OCCIDENT ";"";"BENOIST-MECHIN";"1";"3";"acheté à vil pris ( env 150 fr ) sur broc en 2010";"";"1956    ";"PARIS / ALBIN MICHEL";"";"1500";"13 x 20";"BORCHE / BON ETAT";"K 3";"";"";"SECONDE GUERRE MONDIALE ";"ETUDE HISTORIQUE ";"GUERRE 39 - 40 / CAMPAGNE DE FRANCE ";"";"";"";"";"";"";"";"2010    ";"150";"BROCANTE  LONS";"";"";"";"";"";"";"";"";"";"";"CARTES   +++";"BIBLIO GRAPHIE ++++   TOUS PAYS";"";"BOUQIN DES PLUS PASSIONNANTS SUR LES MOIS DE MAI ET JUIN 1940  PAR CE CELEBRE AUTEURS ? L UN DES TOUT MEILLEURS HISTORIENS DU 20° siecle .

RECIT CHRONOLOGIQUE JOUR PAR JOUR  .  CHAQUE JOUR COMPORTE UNE CARTE DEPLIANTE TRES LISIBLE DES OPERA2TIONS . 

DES PLUSN INTERESSANTS  /  BIBLI GIGANTESQUE ";"";"";"";"";"";"";"";"";"";""
"LA MARNE";"";"BLOND georges ";"1";"1";"acheté neuf 45 fr en 1984";"100";"1984    ";"PARIS / PRESSES DE LA CITE";"";"239";"14 x 22";"BROCHE/NEUF/ EXCELLENT";"C 5";"";"";"GUERRE  14 -  18";"OPERATIONS";"1914 /  LA MARNE /";"";"";"";"";"";"";"";"1984    ";"50";"lIBRAIRIE  ( Paris ou Lons ) ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE +++";"CARTES +";"";"";"EXCELLENT BOUQUIN  A LA FOIS PRECIS ET PAS TROP EXCESSIVEMENT TECHNIQUE SUR LA BATAILLE DE LA MARNE

1 CARTE PAS EXCELLENTE EN DEBUT D' OUVRAGE 

1 CAHIER D' ILLUSTR NOIR ET BLANC EN MILIEU D' OUVRAGE DONT CERTAINES TRES INTERESSANTES ( photos )";"";"";"";"";"";"";"";"";"";""
"L' INVINCIBLE ARMADA ";"";"BLOND georges ";"1";"1";"acheté neuf 90 fr en 1988";"";"1988    ";"PARIS / PLON ";"";"218";"14 X 22";"BORCHE / NEUF/ EXCELLENT";"K 2";"";"";"RENAISSANCE ";"OPERATIONS";"PHILIPPE II D ' ESPAGNE / DRAKE / ";"INVINCIBLE ARMADA ";"";"";"";"";"";"";"1986    ";"80";"LIBRAIRIE  A  ? ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  ++";"";"";"";"EXCELLENT BOUQUIN DE CET EXCELLENT AUTEUR SUR CETTE FAMEUSE EXPEDITION MARITIME 

L' INVINCIBLE ARMADA  ETAIT UN GROUPE DE 130 NAVIRES , AFFRETE PAR PHILIPPE II  D' ESPAGNE,  POUR ENVAHIR L' ANGLETERRE  
ELLE FUT DEFAITE PAR LES ANGLAIS  COMMANDES PAR  DRAKE  FROBISHER  HAWKINS    EN  1586

CAHIER  DILLUSTR  NE T BLANC AU MILIEU 
PAS DE CARTE / PAS DE BIBLIO  NI D INDEX ";"";"";"";"";"";"";"";"";"";""
"1914  LA MARNE";"";"BLOND Georges / CARMIGNANI  J.C.";"1";"1";"acheté neuf 100fr en 1974";"300";"1974    ";"PARIS / STOCK";"";"240";"27 X 29";"RELIE CARTONNE/NEUF/EXC.";"A 2";"";"";"GUERRE  1914  - 1918";"OPERATIONS";"1914 /  LA MARNE /";"";"";"";"";"";"";"";"1974    ";"200";"PARIS  ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++++";"CARTES +++";"";"";"EXCELLENT OUVRAGE MODERNE SUR LA BATAILLE DE LA MARNE  
CONSTRUIT EXACTEMENT SUR LE MEME MODELE QUE :coma: WATERLOO :coma:  SORTI A LA MEME EPOQUE AVEC LA MEME EQUIPE D' AUTEURS  ( à part le texte , ces livres se distinguaient surtout par l'abondance de leur iconographie due à  J C Carmignani °)

INNOMBRABLES ILLUSTR.   ENVIRON  1/4 EN COULEURS  , tant peintures et dessins que photos d'époque  .   Planches d'UNIFORMES  de Louis de Beaufort  . 
QQ CARTES   DONT UNE IMMENSE EN COULEUR EMBRASSANT TOUT LE THEATRE D OPERATION
de  J.C. QUENNEVAT ( auteur de l' Atlas de la Grande Armée  ";" on voit que c'était l'équipe des auteurs en
vogue à l'époque qui a réalisé ce livre  )  . 

OUVRAGE DU PLUS GRAND INTERET  . ";"";"";"";"";"";"";"";"";"";""
"FONTENOY 1745";"LOUIS XV  , ARBITRE DE L'EUROPE";"BOIS  JP";"1";"1";"acheté neuf 125 fr en 1996";"150";"1996    ";"PARIS / ED. ECONOMICA";"CAMPAGNES ET STRATEGIES";"152";"15.5 X 24";"BROCHE / NEUF / EXCELLENT";"D 1";"";"";"ANCIEN REGIME ";"OPERATIONS";"GUERRE DE SUCCESSION D'AUTRICHE";"MARECHAL DE SAXE / CAMPAGNE DE 1744  / COURTRAI /";"VALENCIENNES / SIEGE DE TOURNAI";"DUC DE CUMBERLAND / ROYAL VAISSEAUX / 44° RI";"";"";"";"";"1994    ";"100";"PARIS / LCV";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  ++";"CARTES  +++";"BIBLIOGRAPHIE  ++++";"";"LIVRE MODERNE QUI FAIT UN POINT TRES PRECIS SUR CETTE FAMEUSE BATAILLE  

TOUS Y EST DIT OU PRESQUE  ( car on sait que l'on dispose de beaucoup moins de documents sur les guerres de l'ancien régime que sur les guerres modernes , d'où la pénurie relative d'ouvrages sur ces sjets ) . 

QQ ILLUSTR. ET QQ CARTES   ASSEZ INT.  EN N ET BLANC ";"";"";"";"";"";"";"";"";"";""
"SERVICE D'EXPLORATION POUR LA CAVALERIE";"";"BONIE  Colonel  T. ";"1";"1";"acheté 20 ou 30 fr chez un bouqu années 80";"";"1879    ";"PARIS / DUMAINE";"";"91";"12 X 19";"RELIE / ETAT CORRECT . ";"D 1";"";"";"EPOQUE ENTRE GUERRE DE 70 ET GUERRE DE 14";"TECHNIQUE MILITAIRE";"CAVALERIE / RECONNAISSANCES /";"SERVICE D'ECLAIRAGE DE LA CAVALERIE ";"";"";"";"";"";"";"1985    ";"50";"BOUQUINISTE  NANCY";"";"";"";"";"";"";"";"";"";"";"CARTES  :   ++";"";"";"PETIT MANUEL DE TECHNIQUE  MILITAIRE  A L USA2GE DES OFFICIERS PROFESSIONNELS  ,";"  INDIQUANT LA THEORIE
D'EMPLOI DE LA CAVALERIE DANS LES ANNEES SUIVANT LA GUERRE DE 1870  . 

CE MANUEL CONCERNE DONC ESSENTIELLEMENT LES MISSIONS DE RECONN AISSANCE   DE LA CAVALERIE 

SANS ILLUSTR.    1 CARTE  DETAILLEE D'ETAT MAJOR RENSEIGNEE  (  région de Milly la Forêt  !! ) 

";"";"";"";"";"";"";"";"";"";""
"CAVALERIE AU COMBAT ";"";"BONIE  Général";"1";"1";"";"";"";"";"";"0";"";"";"B 2";"";"";"GUERRE DE 1870";"ETUDE";"FROESCHWILLER /  BEAUMONT /";"REZONVILLE";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CET OUVRAGE TRAITE DE LA TACTIQUE DE LA CAVALERIE AU COMBAT . 

IL ETUDIE PRINCIPALEMENT LES ACTIONS DE CAVALERIE DU 1ER EMPIRE ,  MAIS AUSSI 
CERTAINES DE LA GUERRE DE 1870  . 

VOIR FICHE A CE TITRE EN SERIE  HMRE ";"";"";"";"";"";"";"";"";"";""
"DE ROSBACH A ULM";"";"BONNAL  Général H.";"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"LEUTHEN /  ROSBACH / ";"GRAND FREDERIC";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VOIR FICHE A CE TITRE EN SERIE  HMRE

L'ouvrage étudie la tactique depusi le GRAND FREDERIC  jusqu'à  NAPOLEON 

Il traite donc  en GRAND DETAIL , des campagnes de 1756 et 1757 EN ALLEMAGNE  AVEC NOTAMMENT LES BATAILLES DE  LEUTHEN ET ROSBACH . ";"";"";"";"";"";"";"";"";"";""
"LES DERNIERS JOURS DU FORT DE VAUX ";"";"BORDEAUX  Capitaine Henry -";"1";"1";"acheté environ 40 fr dans une brocante ";"";"1917    ";"PARIS / PLON ";"";"340";"12 X 19";"BROCHE / BON ETAT";"C 5";"";"";"GUERRE  1914  - 1918";"EVENEMENT / OPERATIONS ";"FORT DE VAUX / VERDUN ";"";"";"";"";"";"";"";"2004    ";"30";"BROCANTE ";"";"";"";"";"";"";"";"";"";"";"";"";"";"HISTOIRE DE LA PRISE DE CE CELEBRE FORT LORS DE LA BATAILLE DE VERDUN . 

Je ne l'ai encore pas lue , mais semble très intéressant . 

AVEC 2 CARTES A LA FIN ";"";"";"";"";"";"";"";"";"";""
